Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,2-2,4-0,0-3,1-3,2-2,2-0,1-1,1-3,2-0,0-2,2-1,1-1,1-1,2-0,1-3,2-1,1-1,2-0,1-2,0-2,4-0,4-0,2-0,1-1,2-0,0-2,0-4,2-0,3-1
2,Boston Celtics,2-2,,3-1,2-1,2-1,3-0,2-0,0-2,1-3,2-0,1-1,3-1,2-0,2-0,2-0,4-0,3-1,0-2,2-0,1-3,1-1,3-1,2-2,2-0,1-1,2-0,0-2,4-0,1-1,3-0
3,Brooklyn Nets,0-4,1-3,,3-1,1-2,0-3,0-3,1-1,1-3,0-2,0-2,1-2,0-2,0-2,1-1,0-3,2-2,1-1,1-1,0-4,0-2,0-3,1-3,0-2,0-2,1-1,0-2,1-3,1-1,3-1
4,Chicago Bulls,3-0,1-2,1-3,,1-3,2-2,1-1,1-1,1-3,1-1,1-1,0-4,1-1,0-2,1-1,1-3,1-3,1-1,1-2,1-3,0-2,2-2,2-1,1-1,1-1,1-1,0-2,0-3,1-1,3-0
5,Charlotte Hornets,3-1,1-2,2-1,3-1,,1-3,2-0,1-1,0-3,0-2,1-1,2-2,0-2,1-1,2-0,1-3,1-3,1-1,1-1,2-2,1-1,3-1,1-2,1-1,2-0,2-0,1-1,2-2,2-0,4-0
6,Cleveland Cavaliers,2-2,0-3,3-0,2-2,3-1,,1-1,2-0,2-2,1-1,0-2,4-0,2-0,1-1,2-0,2-2,3-1,1-1,2-0,1-2,0-2,3-1,4-0,1-1,1-1,2-0,2-0,0-3,1-1,4-0
7,Dallas Mavericks,0-2,0-2,3-0,1-1,0-2,1-1,,2-2,1-1,1-2,2-2,2-0,1-3,1-3,1-3,1-1,0-2,0-4,1-3,1-1,0-3,0-2,0-2,0-3,2-1,1-2,0-4,1-1,2-2,1-1
8,Denver Nuggets,1-1,2-0,1-1,1-1,1-1,0-2,2-2,,0-2,2-2,3-1,2-0,2-1,1-2,3-1,1-1,2-0,3-1,3-0,0-2,1-3,1-1,2-0,3-0,3-1,3-1,3-1,2-0,4-0,2-0
9,Detroit Pistons,3-1,3-1,3-1,3-1,3-0,2-2,1-1,2-0,,2-0,1-1,4-0,0-2,2-0,2-0,1-2,3-1,2-0,2-0,3-0,1-1,2-2,4-0,1-1,2-0,2-0,0-2,2-1,1-1,3-1
10,Golden State Warriors,0-2,0-2,2-0,1-1,2-0,1-1,2-1,2-2,0-2,,1-2,1-1,1-3,1-3,3-0,1-1,1-1,1-3,2-1,1-1,0-4,1-1,0-2,3-1,1-3,2-2,2-2,0-2,3-1,2-0
11,Houston Rockets,2-0,1-1,2-0,1-1,1-1,2-0,2-2,1-3,1-1,2-1,,2-0,2-2,1-2,4-0,1-1,2-0,1-2,3-1,1-1,1-2,2-0,1-1,4-0,2-2,2-2,1-3,2-0,3-1,2-0
12,Indiana Pacers,1-2,1-3,2-1,4-0,2-2,0-4,0-2,0-2,0-4,1-1,0-2,,0-2,0-2,0-2,2-1,0-4,0-2,1-1,1-3,1-1,1-2,0-4,0-2,0-2,1-1,0-2,0-4,0-2,1-3
13,Los Angeles Clippers,1-1,0-2,2-0,1-1,2-0,0-2,3-1,1-2,2-0,3-1,2-2,2-0,,2-2,1-3,0-2,2-0,2-2,2-2,1-1,0-3,0-2,0-2,2-2,2-2,3-1,0-3,2-0,2-1,2-0
14,Los Angeles Lakers,1-1,0-2,2-0,2-0,1-1,1-1,3-1,2-1,0-2,3-1,2-1,2-0,2-2,,3-0,2-0,1-1,3-0,4-0,1-1,0-4,1-1,2-0,2-3,1-2,3-1,1-3,2-0,4-0,2-0
15,Memphis Grizzlies,0-2,0-2,1-1,1-1,0-2,0-2,3-1,1-3,0-2,0-3,0-4,2-0,3-1,0-3,,0-2,1-1,2-2,2-2,0-2,0-3,1-1,0-2,1-2,1-3,3-1,1-3,0-2,2-2,0-2
16,Miami Heat,3-1,0-4,3-0,3-1,3-1,2-2,1-1,1-1,2-1,1-1,1-1,1-2,2-0,0-2,2-0,,2-1,0-2,2-0,2-2,1-1,0-5,2-1,2-0,1-1,1-1,0-2,0-4,1-1,4-0
17,Milwaukee Bucks,1-2,1-3,2-2,3-1,3-1,1-3,2-0,0-2,1-3,1-1,0-2,4-0,0-2,1-1,1-1,1-2,,0-2,2-0,1-2,1-1,1-2,0-4,1-1,0-2,1-1,0-2,1-3,1-1,1-3
18,Minnesota Timberwolves,1-1,2-0,1-1,1-1,1-1,1-1,4-0,1-3,0-2,3-1,2-1,2-0,2-2,0-3,2-2,2-0,2-0,,3-1,1-1,2-2,0-2,0-2,1-2,3-1,3-1,2-1,2-0,3-1,2-0
19,New Orleans Pelicans,0-2,0-2,1-1,2-1,1-1,0-2,3-1,0-3,0-2,1-2,1-3,1-1,2-2,0-4,2-2,0-2,0-2,1-3,,0-2,0-3,0-2,1-1,0-4,1-3,2-1,1-3,1-1,3-0,2-0
20,New York Knicks,2-1,3-1,4-0,3-1,2-2,2-1,1-1,2-0,0-3,1-1,1-1,3-1,1-1,1-1,2-0,2-2,2-1,1-1,2-0,,0-2,2-2,2-2,0-2,2-0,1-1,1-1,5-0,2-0,3-0
21,Oklahoma City Thunder,2-0,1-1,2-0,2-0,1-1,2-0,3-0,3-1,1-1,4-0,2-1,1-1,3-0,4-0,3-0,1-1,1-1,2-2,3-0,2-0,,2-0,2-0,3-2,3-1,3-0,1-4,1-1,4-0,2-0
22,Orlando Magic,0-4,1-3,3-0,2-2,1-3,1-3,2-0,1-1,2-2,1-1,0-2,2-1,2-0,1-1,1-1,5-0,2-1,2-0,2-0,2-2,0-2,,1-2,1-1,2-0,2-0,0-2,1-2,2-0,3-1
23,Philadelphia 76ers,0-4,2-2,3-1,1-2,2-1,0-4,2-0,0-2,0-4,2-0,1-1,4-0,2-0,0-2,2-0,1-2,4-0,2-0,1-1,2-2,0-2,2-1,,1-1,1-1,2-0,0-2,2-2,2-0,4-0
24,Phoenix Suns,0-2,0-2,2-0,1-1,1-1,1-1,3-0,0-3,1-1,1-3,0-4,2-0,2-2,3-2,2-1,0-2,1-1,2-1,4-0,2-0,2-3,1-1,1-1,,2-1,4-0,2-2,1-1,2-1,2-0
25,Portland Trail Blazers,1-1,1-1,2-0,1-1,0-2,1-1,1-2,1-3,0-2,3-1,2-2,2-0,2-2,2-1,3-1,1-1,2-0,1-3,3-1,0-2,1-3,0-2,1-1,1-2,,4-0,1-2,0-2,4-0,1-1
26,Sacramento Kings,0-2,0-2,1-1,1-1,0-2,0-2,2-1,1-3,0-2,2-2,2-2,1-1,1-3,1-3,1-3,1-1,1-1,1-3,1-2,1-1,0-3,0-2,0-2,0-4,0-4,,0-3,1-1,2-2,1-1
27,San Antonio Spurs,2-0,2-0,2-0,2-0,1-1,0-2,4-0,1-3,2-0,2-2,3-1,2-0,3-0,3-1,3-1,2-0,2-0,1-2,3-1,1-1,4-1,2-0,2-0,2-2,2-1,3-0,,2-0,2-1,2-0
28,Toronto Raptors,4-0,0-4,3-1,3-0,2-2,3-0,1-1,0-2,1-2,2-0,0-2,4-0,0-2,0-2,2-0,4-0,3-1,0-2,1-1,0-5,1-1,2-1,2-2,1-1,2-0,1-1,0-2,,2-0,2-1
29,Utah Jazz,0-2,1-1,1-1,1-1,0-2,1-1,2-2,0-4,1-1,1-3,1-3,2-0,1-2,0-4,2-2,1-1,1-1,1-3,0-3,0-2,0-4,0-2,0-2,1-2,0-4,2-2,1-2,0-2,,1-1
30,Washington Wizards,1-3,0-3,1-3,0-3,0-4,0-4,1-1,0-2,1-3,0-2,0-2,3-1,0-2,0-2,2-0,0-4,3-1,0-2,0-2,0-3,0-2,1-3,0-4,0-2,1-1,1-1,0-2,1-2,1-1,
